ds,yhat,yhat_lower,yhat_upper
2020-01-18,108710.17561730956,53691.80630287097,168281.99518474776
2020-01-19,158724.98399734212,102339.28230515997,221775.5577062367
2020-01-20,178441.53735004665,116926.67111367112,236056.2145007512
2020-01-21,112670.93791046282,51865.74804128727,173599.81866175134
2020-01-22,56826.3584057989,-3031.7898373517446,116681.37112500038
2020-01-23,74627.01458838144,13013.520616744228,131718.90345437507
2020-01-24,81941.92212705585,24273.851605259693,139399.39672596054
2020-01-25,116260.5809059072,55744.736633649896,176552.55484313137
2020-01-26,167191.17610373307,109438.52418575442,229569.86450145376
2020-01-27,187331.1125848224,127285.25993110641,245558.3035714186
2020-01-28,121507.12742670033,60865.04786635897,180266.23873262978
2020-01-29,65223.72831203949,6462.401531899159,125891.79244104678
2020-01-30,82284.08257799843,21815.7073893673,140765.6323441699
2020-01-31,88580.20320413761,27209.91084481884,149231.35124241834
2020-02-01,121682.55889207522,57968.01168090727,182129.38192747725
2020-02-02,171260.7132232769,108693.72686205803,229170.96418370868
2020-02-03,189957.033381007,129009.26700844437,246304.7749291608
2020-02-04,122638.24233491988,67876.75637612815,182505.05100493194
2020-02-05,64913.17978242001,4298.996980542188,125151.73929648519
2020-02-06,80670.65273375162,25223.064468312605,138281.18174761426
2020-02-07,85816.36545170633,27818.49744914192,142943.44048073847
2020-02-08,117982.02644642998,56341.27448572624,178413.86868080022
2020-02-09,166869.23346786614,110592.52811447442,228211.31489847656
2020-02-10,185127.3759739698,127203.7865650925,246377.28159492064
2020-02-11,117617.828293168,57188.03816774183,176461.2353503642
2020-02-12,60002.38277726876,-1734.6299731828094,115834.50868820373
2020-02-13,76199.52335463477,16415.602799228556,134504.12958023354
2020-02-14,82069.63411504285,23819.70742565301,143606.29233867256
2020-02-15,115245.17166310977,50906.42040228454,175135.8541554888
2020-02-16,165399.3586033537,105722.9752714423,223383.20287137455
2020-02-17,185129.79816412614,130872.38902389738,245017.74585762148
2020-02-18,119236.745976983,61189.554859781325,179845.57989161738
2020-02-19,63383.53861687598,3942.4632632852013,122466.00007818577
2020-02-20,81472.46877454023,20201.18540812156,144560.51825658572
2020-02-21,89279.28087661766,29593.442578577033,149603.75276853543
2020-02-22,124405.22603540655,66040.37899394557,183559.641509402
2020-02-23,176471.17452667543,118984.64344693272,237595.89849436385
2020-02-24,198007.33630412183,135263.9324393,260901.55640263733
2020-02-25,133745.78404556552,72356.69221425407,191483.48417304005
2020-02-26,79352.82999549806,22444.798236413568,141043.2760600318
2020-02-27,98724.24278435344,40468.78917084103,160270.75823715076
2020-02-28,107568.569337483,47798.637347904114,167423.75155498466
2020-03-01,196059.2311231303,135112.78183150102,256863.14747585633
